"date","fruits_veggies","daily_stress","places_visited","core_circle","supporting_others","social_network","achievement","donation","bmi_range","todo_completed","flow","daily_steps","live_vision","sleep_hours","lost_vacation","daily_shouting","sufficient_income","personal_awards","time_for_passion","weekly_meditation","age","gender","work_life_balance_score"
"2015-07-07",3,2,2,5,0,5,2,0,1,6,4,5,0,7,5,5,1,4,0,5,"36 to 50","Female",609.5
"2015-07-07",2,3,4,3,8,10,5,2,2,5,2,5,5,8,2,2,2,3,2,6,"36 to 50","Female",655.6
"2015-07-07",2,3,3,4,4,10,3,2,2,2,2,4,5,8,10,2,2,4,8,3,"36 to 50","Female",631.6
"2015-07-07",3,3,10,3,10,7,2,5,2,3,5,5,0,5,7,5,1,5,2,0,"51 or more","Female",622.7
"2015-07-07",5,1,3,3,10,4,2,4,2,5,0,5,0,7,0,0,2,8,1,5,"51 or more","Female",663.9
"2015-07-08",3,2,3,9,10,10,2,3,1,6,1,7,10,8,0,2,2,10,8,3,"51 or more","Female",722.3
"2015-07-08",4,2,10,6,10,10,3,5,2,8,8,7,5,7,10,0,2,10,8,10,"51 or more","Male  ",727.2
"2015-07-09",3,4,5,3,5,7,4,0,1,8,2,8,10,6,0,2,2,8,2,2,"21 to 35","Female",676.2
"2015-07-09",5,3,6,4,3,3,5,4,1,10,2,1,5,10,0,2,2,10,3,10,"21 to 35","Female",702.8
"2015-07-10",4,4,2,6,10,10,0,4,2,3,2,3,0,6,0,0,1,3,8,1,"51 or more","Female",634.4
"2015-07-10",2,4,7,7,1,1,3,0,2,2,2,7,4,8,7,3,2,3,0,6,"36 to 50","Female",610.1
"2015-07-12",1,4,3,8,0,2,1,0,1,2,1,8,2,7,7,1,2,4,1,7,"21 to 35","Male  ",618.6
"2015-07-12",2,2,10,5,2,8,3,4,2,7,1,6,10,8,0,0,2,5,2,7,"21 to 35","Male  ",686.4
"2015-07-12",5,3,0,3,6,6,6,3,1,8,7,7,2,6,0,3,2,5,6,5,"36 to 50","Female",689.6
"2015-07-12",3,3,2,3,7,5,3,2,1,8,0,2,5,8,3,2,1,4,5,4,"21 to 35","Female",639.7
"2015-07-12",3,3,5,4,10,10,2,5,1,7,2,8,10,6,1,2,2,8,3,10,"51 or more","Female",720.4
"2015-07-12",4,2,10,4,6,10,4,0,1,8,2,1,1,8,1,1,2,3,3,3,"21 to 35","Male  ",673.5
"2015-07-12",4,2,10,10,5,10,0,1,1,7,1,10,2,8,0,3,2,4,8,6,"21 to 35","Male  ",707.6
"2015-07-12",5,3,10,7,10,5,6,5,1,6,2,8,10,9,0,7,2,5,4,7,"36 to 50","Female",727.8
"2015-07-13",3,1,6,10,10,6,3,5,2,8,4,1,5,8,0,0,2,5,1,2,"36 to 50","Male  ",687.1
"2015-07-13",2,4,3,8,6,5,1,2,1,8,1,4,6,4,0,3,2,3,2,5,"21 to 35","Male  ",652.9
"2015-07-13",3,5,5,4,5,3,2,5,2,10,6,3,3,7,5,7,2,10,10,10,"21 to 35","Female",668.6
"2015-07-13",5,2,8,6,10,10,6,4,2,4,4,3,3,7,1,2,2,10,6,8,"36 to 50","Male  ",709.4
"2015-07-13",2,2,6,10,10,10,10,5,1,10,6,7,4,7,0,1,2,10,5,7,"36 to 50","Male  ",752.7
"2015-07-13",2,4,6,10,5,5,6,4,2,6,1,7,10,6,0,3,2,1,3,10,"36 to 50","Female",677.7
"2015-07-13",1,5,1,3,6,5,3,5,1,2,2,8,1,7,0,6,2,5,1,1,"21 to 35","Male  ",633.9
"2015-07-13",1,4,1,2,5,3,1,5,1,1,5,8,1,7,0,4,2,2,1,1,"21 to 35","Male  ",628.8
"2015-07-13",2,4,10,3,10,7,8,3,1,6,0,5,5,7,0,1,2,10,2,2,"21 to 35","Female",692.8
